="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id",="sanction_status"
="109","Adrian, Nathan",="100",="109136853",="100 FR LCM",="27",="48.43",="48.43",="2021 Summer Nationals (LCM)",="2016 Olympic Trials ",="6/29/2016",="California Aquatics",="PC",="",="1007",="56",="Yes"
="109","Morozov, Vladimir",="100",="133086645",="100 FR LCM",="26",="48.43",="48.43",="2021 Summer Nationals (LCM)",="2019 World Cup - Doha",="9/14/2018",="Unattached",="CA",="Yes",="1007",="56",="Yes"
="109","Pieroni, Blake",="100",="143736929",="100 FR LCM",="23",="48.43",="48.43",="2020 Olympic Trials Wave II",="2019 World Cup - Tokyo",="8/3/2019",="Indiana Swim Club",="IN",="",="1007",="56",="Yes"
="112","Chadwick, Michael",="100",="132598158",="100 FR LCM",="23",="48.44",="48.44",="2021 Summer Nationals (LCM)",="2018 Summer Nationals",="7/25/2018",="Unattached",="NC",="",="1006",="56",="Yes"
="112","Chierighini, Marcelo",="100",="132972544",="100 FR LCM",="27",="48.44",="48.44",="2021 Summer Nationals (LCM)",="2018 Pan Pacific Champs",="8/10/2018",="Unattached",="SE",="Yes",="1006",="56",="Yes"
="112","Pieroni, Blake",="100",="132599648",="100 FR LCM",="22",="48.44",="48.44",="2021 Summer Nationals (LCM)",="2018 Summer Nationals",="7/25/2018",="Mission Viejo Nadadores",="CA",="",="1006",="56",="Yes"
="115","Dressel, Caeleb",="100",="141227768",="100 FR LCM",="22",="48.45",="48.45",="2020 Olympic Trials Wave II",="2019 GA Atlanta Classic Swim Meet",="5/19/2019",="Gator Swim Club",="FL",="",="1006",="56",="Yes"
="115","Farris, Dean",="100",="148831804",="100 FR LCM",="22",="48.45",="48.45",="2020 Olympic Trials Wave II",="2019 U.S. Open",="12/7/2019",="Harvard Swimming",="NE",="",="1006",="56",="Yes"
="117","Adrian, Nathan",="100",="149096020",="100 FR LCM",="28",="48.46",="48.46",="2021 Summer Nationals (LCM)",="2017 World Champs",="7/26/2017",="Unattached",="PC",="",="1005",="56",="Yes"
="117","Chierighini, Marcelo",="100",="119335719",="100 FR LCM",="26",="48.46",="48.46",="2021 Summer Nationals (LCM)",="LVII Brazilian Swimming Championships - Maria Lenk",="5/4/2017",="Unattached",="SE",="Yes",="1005",="56",="Yes"
="117","Chierighini, Marcelo",="100",="119177182",="100 FR LCM",="26",="48.46",="48.46",="2021 Summer Nationals (LCM)",="LVII Brazilian Swimming Championships - Maria Lenk",="5/2/2017",="Auburn Aquatics",="SE",="Yes",="1005",="56",="Yes"
="117","Chierighini, Marcelo",="100",="149096428",="100 FR LCM",="26",="48.46",="48.46",="2021 Summer Nationals (LCM)",="2017 World Champs",="7/26/2017",="Unattached",="SE",="Yes",="1005",="56",="Yes"
="117","Held, Ryan",="100",="109136943",="100 FR LCM",="21",="48.46",="48.46",="2021 Summer Nationals (LCM)",="2016 Olympic Trials ",="6/29/2016",="NC State University",="NC",="",="1005",="56",="Yes"
