="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id",="sanction_status"
="97","Pieroni, Blake",="100",="139602795",="100 FR LCM",="23",="48.91",="48.91",="2020 Olympic Trials Wave II",="2019 Pro Series - Des Moines",="3/7/2019",="Unattached",="IN",="",="983",="56",="Yes"
="100","Morozov, Vladimir",="100",="143736923",="100 FR LCM",="27",="48.92",="48.92",="2020 Olympic Trials Wave II",="2019 World Cup - Tokyo",="8/3/2019",="Trojan Swim Club",="CA",="Yes",="983",="56",="Yes"
="101","Apple, Zach",="100",="150558304",="100 FR LCM",="22",="48.93",="48.93",="2020 Olympic Trials Wave II",="2020 Pro Series - Des Moines",="3/5/2020",="Mission Viejo Nadadores",="CA",="",="982",="56",="Yes"
="101","Blaskovic, Bruno",="100",="148831030",="100 FR LCM",="21",="48.93",="48.93",="2020 Olympic Trials Wave II",="2019 U.S. Open",="12/7/2019",="Indiana Swim Club",="IN",="Yes",="982",="56",="Yes"
="103","Chadwick, Michael",="100",="143859645",="100 FR LCM",="24",="48.94",="48.94",="2020 Olympic Trials Wave II",="2019 Pan Am Games",="8/6/2019",="Team Elite",="NC",="",="982",="56",="Yes"
="103","Chadwick, Michael",="100",="143860465",="100 FR LCM",="24",="48.94",="48.94",="2020 Olympic Trials Wave II",="2019 Pan Am Games",="8/8/2019",="Team Elite",="NC",="",="982",="56",="Yes"
="103","Jackson, Tate",="100",="140435195",="100 FR LCM",="22",="48.94",="48.94",="2020 Olympic Trials Wave II",="2019 Pro Series - Richmond",="4/13/2019",="University of Texas",="ST",="",="982",="56",="Yes"
="103","Minakov, Andrei",="100",="148019749",="100 FR LCM",="17",="48.94",="48.94",="2020 Olympic Trials Wave II",="2020 FINA CS - Shenzhen",="1/15/2020",="Terrapins Swim Team",="PC",="Yes",="992",="56",="Yes"
="103","Quintero, Cristian",="100",="143861113",="100 FR LCM",="26",="48.94",="48.94",="2020 Olympic Trials Wave II",="2019 Pan Am Games",="8/8/2019",="Trojan Swim Club",="CA",="Yes",="982",="56",="Yes"
="108","Fratus, Bruno",="100",="140646391",="100 FR LCM",="29",="48.95",="48.95",="2020 Olympic Trials Wave II",="2019 Brazil Trophy ",="4/18/2019",="Unattached",="FG",="Yes",="981",="56",="Yes"
="108","Kusch, Marius",="100",="139597349",="100 FR LCM",="25",="48.95",="48.95",="2020 Olympic Trials Wave II",="2019 Pro Series - Des Moines",="3/7/2019",="Unattached",="NC",="Yes",="981",="56",="Yes"
="110","Farris, Dean",="100",="150580069",="100 FR LCM",="22",="48.97",="48.97",="2020 Olympic Trials Wave II",="2020 Pro Series - Des Moines",="3/5/2020",="Harvard Swimming",="NE",="",="980",="56",="Yes"
="111","Adrian, Nathan",="100",="154098285",="100 FR LCM",="32",="48.98",="48.98",="2020 Olympic Trials Wave II",="2021 TYR Pro Swim Series - Mis",="4/10/2021",="Unattached",="PC",="",="980",="56",="Yes"
="111","Apple, Zach",="100",="148228801",="100 FR LCM",="22",="48.98",="48.98",="2020 Olympic Trials Wave II",="2020 Pro Series - Knoxville",="1/19/2020",="Mission Viejo Nadadores",="CA",="",="980",="56",="Yes"
="113","Held, Ryan",="100",="150580121",="100 FR LCM",="24",="48.99",="48.99",="2020 Olympic Trials Wave II",="2020 Pro Series - Des Moines",="3/5/2020",="New York Athletic Club",="MR",="",="979",="56",="Yes"
="113","Morozov, Vladimir",="100",="145190632",="100 FR LCM",="27",="48.99",="48.99",="2020 Olympic Trials Wave II",="2019 World Cup -  Kazan",="11/2/2019",="Trojan Swim Club",="CA",="Yes",="979",="56",="Yes"
="115","Becker, Bowe",="100",="143707072",="100 FR LCM",="22",="49.00",="49.00",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="War Eagle Swimming",="SE",="",="979",="56",="Yes"
="115","Cheruti, Meiron",="100",="152167115",="100 FR LCM",="21",="49.00",="49.00",="2020 Olympic Trials Wave II",="2019 Israel Summer Champs",="8/1/2019",="Unattached",="NC",="Yes",="979",="56",="Yes"
="115","Held, Ryan",="100",="151503331",="100 FR LCM",="25",="49.00",="49.00",="2020 Olympic Trials Wave II",="2020 Toyota Huntsville",="11/14/2020",="New York Athletic Club",="MR",="",="979",="56",="Yes"
="115","Pieroni, Blake",="100",="150580254",="100 FR LCM",="24",="49.00",="49.00",="2020 Olympic Trials Wave II",="2020 Pro Series - Des Moines",="3/5/2020",="Sandpipers Of Nevada",="CA",="",="979",="56",="Yes"
="115","Quintero, Cristian",="100",="143857584",="100 FR LCM",="26",="49.00r",="49.00",="2020 Olympic Trials Wave II",="2019 Pan Am Games",="8/7/2019",="Trojan Swim Club",="CA",="Yes",="979",="56",="Yes"
="120","Farris, Dean",="100",="148831803",="100 FR LCM",="22",="49.02",="49.02",="2020 Olympic Trials Wave II",="2019 U.S. Open",="12/7/2019",="Harvard Swimming",="NE",="",="978",="56",="Yes"
="121","Chadwick, Michael",="100",="150582203",="100 FR LCM",="24",="49.03",="49.03",="2020 Olympic Trials Wave II",="2020 Pro Swim - Des Moines TT",="3/6/2020",="Team Elite",="NC",="",="977",="56",="Yes"
