,full_name,swim_time_formatted,swim_date
995,"Haas, Townley","=""49.74""","=""6/15/2019"""
996,"Haas, Townley","=""49.74""","=""5/20/2021"""
998,"Krueger, Danny","=""49.74""","=""5/25/2019"""
999,"Lasco, Destin","=""49.74""","=""7/31/2019"""
1000,"Lynch, Justin","=""49.74""","=""4/29/2017"""
1003,"Seliskar, Andrew","=""49.74""","=""3/4/2021"""
1004,"Adrian, Nathan","=""49.75""","=""3/1/2018"""
1006,"Casas, Shaine","=""49.75""","=""7/31/2019"""
1007,"Craig, Cameron","=""49.75""","=""7/31/2019"""
1010,"Dressel, Caeleb","=""49.75""","=""3/4/2021"""
1011,"Farris, Dean","=""49.75""","=""6/21/2018"""
1013,"Jackson, Tate","=""49.75""","=""6/21/2018"""
1015,"Pieroni, Blake","=""49.75""","=""12/5/2015"""
